Produkt_id,Typ (string),Modell (string),Hersteller (string),Preis (BigDecimal?),Beschreibung (string),Erscheinungsjahr (int),Gewicht (in g -> int/float),Anzeigename (string),EAN (int),image_url
1,CPU,i7-10700K,Intel,"374.00","Die Intel Core i7 Prozessoren stellen dank schnellerer, intelligenter Multicochnik, die Rechenleistung ",2019,10,Intel® Core™ i7-10700K Prozessor,5032037188609,"https://image320.macovi.de/images/product_images/320/1361857_0__74143.jpg"
2,CPU,Ryzen Threadripper 3990X,AMD,"5552.09","AMD Ryzen Threadripper 3990X, AMD Ryzen Threadripper",2020,5000,AMD Ryzen™ Threadripper™ 3990X Prozessor,730143312110,"https://image320.macovi.de/images/product_images/320/1347410_0__73990.jpg"
3,GPU,GeForce RTX 3080 Ti,NVIDIA,"1300.00",Die GeForce-30-Serie ist eine Serie von Grafikchips des Unternehmens Nvidia und Nachfolger der GeForce-20-Serie.,2021,10000,GeForce RTX 3080 Ti,812674024851,"https://image320.macovi.de/images/product_images/320/1443612_0__72763.jpg"
4,GPU,GT 1030,MSI,"142.78","Beschleunigen Sie Ihr gesamtes PC-Erlebnis mit der schnellen, leistungsstarken NVIDIA GeForce GT 1030-Grafikkarte. Die preisgekrönte ",2018,400,2GB MSI GeForce GT 1030 OC,4719072561413,"https://image320.macovi.de/images/product_images/320/1172830_0__69847.jpg"
5,PSU,Pure Power 11,be quiet!,"77.96",Das Pure Power 11 600W CM steht für unvergleichliche Zuverlässigkeit und erstklassige Features. Ob für die Konfiguration eines leisen Systems.,2018,2267,be quiet! Pure Power 11 CM Modular 600 Watt 80+ Gold,4260052186398,"https://image320.macovi.de/images/product_images/320/1281117_0__8893035.jpg"
6,RAM,Trident Z5 RGB,G.Skill,"406.95",Trident Z5 RGB series DDR5 memory is the latest G.SKILL flagship memory kits designed for ultra-high extreme performance on next-gen DDR5 platforms.,2022,160,32GB G.Skill Trident Z5 RGB DDR5-6000 DIMM CL36,4713294230720,"https://image320.macovi.de/images/product_images/320/1325223_0__8935272.jpg"
7,RAM,XPG Spectrix RBG,ADATA,"87.68","Neu: Neuer, unbenutzter und unbeschädigter Artikel in nicht geöffneter Originalverpackung (soweit eine Verpackung vorhanden ist).",2017,150,16GB ADATA XPG Spectrix RGB DDR4-3200,4711085931276,"https://image1280.macovi.de/images/product_images/1280/1186972_0__37245343_6511848616.jpg"
8,HDD,Blue 4TB,WD,"73.80",Die interne Festplatte WD Blue™ eignet sich hervorragend zum Aufbewahren von Daten – von Textdateien bis hin zu hochauflösenden Filmen.,2021,640,WD Blue 4TB Desktop HDD 5400 RPM,718037858173,"https://image320.macovi.de/images/product_images/320/1355112_0__8963859.jpg"
9,SSD,980 M.2,Samsung,"96.00",Schöpfen Sie das Potenzial Ihres PCs mit der Samsung SSD 980 aus.,2022,9,1TB Samsung SSD 980 M.2,8806090572210,"https://image320.macovi.de/images/product_images/320/1374976_0__74300.jpg"
10,MB,B450,MSI,"73.87",Die AM4-Chipsätze sind eine Chipsatz-Familie von AMD für Prozessoren der Zen-Architektur. Sie sind der Nachfolger der AMD-900-Serie und wurden Anfang 2017 veröffentlicht.,2017,800,MSI B450 Gaming Plus MAX AMD,4719072658557,"https://image320.macovi.de/images/product_images/320/1326176_0__73452.jpg"
